id;ts;station;endpoint;node_id;tag;datatype;wert_num;wert_bool;wert_text;payload_json;mqtt_topic;created_at
1;"2026-09-04 12:14:29";leitstand;192.168.36.1:4840;"ns=3;s=""dbHMI"".""uiSeriennummer""";dbHMI_uiSeriennummer;UInt16;14236;;;"{""station"": ""leitstand"", ""endpoint"": ""192.168.36.1:4840"", ""nodeId"": ""ns=3;s=\"dbHMI\".\"uiSeriennummer\""", ""tag"": ""dbHMI_uiSeriennummer"", ""datatype"": ""UInt16"", ""wert"": 14236, ""zeitstempel"": ""2026-09-04T12:14:29.750Z""}";plc/leitstand/dbHMI_uiSeriennummer;"2026-09-04 12:14:29"
2;"2026-09-04 12:14:33";palettenlager1;192.168.36.2:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""palettenlager1"", ""endpoint"": ""192.168.36.2:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:33.231Z""}";plc/palettenlager1/AL_MA1_Rechtslauf;"2026-09-04 12:14:33"
3;"2026-09-04 12:14:33";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:33.757Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:33"
4;"2026-09-04 12:14:36";palettenlager1;192.168.36.2:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""palettenlager1"", ""endpoint"": ""192.168.36.2:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:36.234Z""}";plc/palettenlager1/AL_MA1_Rechtslauf;"2026-09-04 12:14:36"
5;"2026-09-04 12:14:38";palettenlager1;192.168.36.2:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""palettenlager1"", ""endpoint"": ""192.168.36.2:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:38.237Z""}";plc/palettenlager1/AL_MA1_Rechtslauf;"2026-09-04 12:14:38"
6;"2026-09-04 12:14:40";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:40.765Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:40"
7;"2026-09-04 12:14:41";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:41.767Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:41"
8;"2026-09-04 12:14:42";palettenlager1;192.168.36.2:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""palettenlager1"", ""endpoint"": ""192.168.36.2:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:42.467Z""}";plc/palettenlager1/AL_MA1_Rechtslauf;"2026-09-04 12:14:42"
9;"2026-09-04 12:14:42";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:42.770Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:42"
10;"2026-09-04 12:14:45";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:45.774Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:45"
11;"2026-09-04 12:14:47";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-BG2_Bandsensor_Rechts""";AL_BG2_Bandsensor_Rechts;Boolean;;0;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG2_Bandsensor_Rechts\""", ""tag"": ""AL_BG2_Bandsensor_Rechts"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:47.774Z""}";plc/rohlager_dosen/AL_BG2_Bandsensor_Rechts;"2026-09-04 12:14:47"
12;"2026-09-04 12:14:47";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Linkslauf""";AL_MA1_Linkslauf;Boolean;;1;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Linkslauf\""", ""tag"": ""AL_MA1_Linkslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:47.775Z""}";plc/rohlager_dosen/AL_MA1_Linkslauf;"2026-09-04 12:14:47"
13;"2026-09-04 12:14:47";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;0;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": false, ""zeitstempel"": ""2026-09-04T12:14:47.775Z""}";plc/rohlager_dosen/AL_MA1_Rechtslauf;"2026-09-04 12:14:47"
14;"2026-09-04 12:14:49";rohlager_dosen;192.168.36.3:4840;"ns=3;s=""+AL-BG2_Bandsensor_Rechts""";AL_BG2_Bandsensor_Rechts;Boolean;;1;;"{""station"": ""rohlager_dosen"", ""endpoint"": ""192.168.36.3:4840"", ""nodeId"": ""ns=3;s=\"+AL-BG2_Bandsensor_Rechts\""", ""tag"": ""AL_BG2_Bandsensor_Rechts"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:49.074Z""}";plc/rohlager_dosen/AL_BG2_Bandsensor_Rechts;"2026-09-04 12:14:49"
15;"2026-09-04 12:14:49";abf_llen;192.168.36.4:4840;"ns=3;s=""+AL-MA1.Rechtslauf""";AL_MA1_Rechtslauf;Boolean;;1;;"{""station"": ""abf_llen"", ""endpoint"": ""192.168.36.4:4840"", ""nodeId"": ""ns=3;s=\"+AL-MA1.Rechtslauf\""", ""tag"": ""AL_MA1_Rechtslauf"", ""datatype"": ""Boolean"", ""wert"": true, ""zeitstempel"": ""2026-09-04T12:14:49.534Z""}";plc/abf_llen/AL_MA1_Rechtslauf;"2026-09-04 12:14:49"
